#
#
# Table of c12 elastic constant for Tantalum at
# various temperatures and pressures
#
#       Temperature           Pressure           Constant
#       (degree K)             (MBar)
#
        0.000000000          0.000000000         1.715230000
        0.000000000          0.204082000         2.277170000
        0.000000000          0.408163000         2.828140000
        0.000000000          0.612245000         3.371660000
        0.000000000          0.816327000         3.910530000
        0.000000000          1.020410000         4.446950000
        0.000000000          1.224490000         4.982600000
        0.000000000          1.428570000         5.518730000
        0.000000000          1.632650000         6.056230000
        0.000000000          1.836730000         6.595730000
        0.000000000          2.040820000         7.137580000
        0.000000000          2.244900000         7.682010000
        0.000000000          2.448980000         8.229070000
        0.000000000          2.653060000         8.778760000
        0.000000000          2.857140000         9.330980000
        0.000000000          3.061220000         9.885630000
        0.000000000          3.265310000        10.442600000
        0.000000000          3.469390000        11.001700000
        0.000000000          3.673470000        11.562900000
        0.000000000          3.877550000        12.126000000
        0.000000000          4.081630000        12.691100000
        0.000000000          4.285710000        13.258100000
        0.000000000          4.489800000        13.827000000
        0.000000000          4.693880000        14.397800000
        0.000000000          4.897960000        14.970600000
        0.000000000          5.102040000        15.545400000
        0.000000000          5.306120000        16.122400000
        0.000000000          5.510200000        16.701500000
        0.000000000          5.714290000        17.282900000
        0.000000000          5.918370000        17.866600000
        0.000000000          6.122450000        18.452600000
        0.000000000          6.326530000        19.041000000
        0.000000000          6.530610000        19.631500000
        0.000000000          6.734690000        20.224200000
        0.000000000          6.938780000        20.819000000
        0.000000000          7.142860000        21.415700000
        0.000000000          7.346940000        22.014100000
        0.000000000          7.551020000        22.614100000
        0.000000000          7.755100000        23.215400000
        0.000000000          7.959180000        23.817900000
        0.000000000          8.163270000        24.421500000
        0.000000000          8.367350000        25.026000000
        0.000000000          8.571430000        25.631600000
        0.000000000          8.775510000        26.238500000
        0.000000000          8.979590000        26.847000000
        0.000000000          9.183670000        27.457900000
        0.000000000          9.387760000        28.072200000
        0.000000000          9.591840000        28.691100000
        0.000000000          9.795920000        29.316700000
        0.000000000         10.000000000        29.951300000
  
      100.000000000          0.000000000         1.679330000
      100.000000000          0.204082000         2.230320000
      100.000000000          0.408163000         2.776900000
      100.000000000          0.612245000         3.321010000
      100.000000000          0.816327000         3.864180000
      100.000000000          1.020410000         4.407510000
      100.000000000          1.224490000         4.951830000
      100.000000000          1.428570000         5.497670000
      100.000000000          1.632650000         6.045360000
      100.000000000          1.836730000         6.595070000
      100.000000000          2.040820000         7.146830000
      100.000000000          2.244900000         7.700570000
      100.000000000          2.448980000         8.256160000
      100.000000000          2.653060000         8.813430000
      100.000000000          2.857140000         9.372190000
      100.000000000          3.061220000         9.932230000
      100.000000000          3.265310000        10.493400000
      100.000000000          3.469390000        11.055400000
      100.000000000          3.673470000        11.618300000
      100.000000000          3.877550000        12.181800000
      100.000000000          4.081630000        12.745900000
      100.000000000          4.285710000        13.310500000
      100.000000000          4.489800000        13.875700000
      100.000000000          4.693880000        14.441300000
      100.000000000          4.897960000        15.007500000
      100.000000000          5.102040000        15.574200000
      100.000000000          5.306120000        16.141500000
      100.000000000          5.510200000        16.709500000
      100.000000000          5.714290000        17.278200000
      100.000000000          5.918370000        17.847600000
      100.000000000          6.122450000        18.417800000
      100.000000000          6.326530000        18.988800000
      100.000000000          6.530610000        19.560500000
      100.000000000          6.734690000        20.132800000
      100.000000000          6.938780000        20.705800000
      100.000000000          7.142860000        21.279400000
      100.000000000          7.346940000        21.853300000
      100.000000000          7.551020000        22.427600000
      100.000000000          7.755100000        23.002100000
      100.000000000          7.959180000        23.576600000
      100.000000000          8.163270000        24.151200000
      100.000000000          8.367350000        24.725700000
      100.000000000          8.571430000        25.300400000
      100.000000000          8.775510000        25.875300000
      100.000000000          8.979590000        26.450700000
      100.000000000          9.183670000        27.027200000
      100.000000000          9.387760000        27.605600000
      100.000000000          9.591840000        28.186700000
      100.000000000          9.795920000        28.772100000
      100.000000000         10.000000000        29.363400000
  
      200.000000000          0.000000000         1.648400000
      200.000000000          0.204082000         2.191610000
      200.000000000          0.408163000         2.735280000
      200.000000000          0.612245000         3.280210000
      200.000000000          0.816327000         3.826960000
      200.000000000          1.020410000         4.375860000
      200.000000000          1.224490000         4.927060000
      200.000000000          1.428570000         5.480590000
      200.000000000          1.632650000         6.036350000
      200.000000000          1.836730000         6.594180000
      200.000000000          2.040820000         7.153830000
      200.000000000          2.244900000         7.715040000
      200.000000000          2.448980000         8.277530000
      200.000000000          2.653060000         8.841010000
      200.000000000          2.857140000         9.405200000
      200.000000000          3.061220000         9.969840000
      200.000000000          3.265310000        10.534700000
      200.000000000          3.469390000        11.099500000
      200.000000000          3.673470000        11.664200000
      200.000000000          3.877550000        12.228600000
      200.000000000          4.081630000        12.792500000
      200.000000000          4.285710000        13.355900000
      200.000000000          4.489800000        13.918700000
      200.000000000          4.693880000        14.481000000
      200.000000000          4.897960000        15.042700000
      200.000000000          5.102040000        15.603800000
      200.000000000          5.306120000        16.164400000
      200.000000000          5.510200000        16.724400000
      200.000000000          5.714290000        17.284000000
      200.000000000          5.918370000        17.843100000
      200.000000000          6.122450000        18.401700000
      200.000000000          6.326530000        18.959900000
      200.000000000          6.530610000        19.517700000
      200.000000000          6.734690000        20.075000000
      200.000000000          6.938780000        20.631700000
      200.000000000          7.142860000        21.187900000
      200.000000000          7.346940000        21.743400000
      200.000000000          7.551020000        22.298300000
      200.000000000          7.755100000        22.852300000
      200.000000000          7.959180000        23.405500000
      200.000000000          8.163270000        23.957900000
      200.000000000          8.367350000        24.509300000
      200.000000000          8.571430000        25.060000000
      200.000000000          8.775510000        25.610000000
      200.000000000          8.979590000        26.159600000
      200.000000000          9.183670000        26.709200000
      200.000000000          9.387760000        27.259300000
      200.000000000          9.591840000        27.810700000
      200.000000000          9.795920000        28.364400000
      200.000000000         10.000000000        28.921700000
  
      300.000000000          0.000000000         1.625180000
      300.000000000          0.204082000         2.167030000
      300.000000000          0.408163000         2.711160000
      300.000000000          0.612245000         3.257930000
      300.000000000          0.816327000         3.807500000
      300.000000000          1.020410000         4.359890000
      300.000000000          1.224490000         4.915010000
      300.000000000          1.428570000         5.472670000
      300.000000000          1.632650000         6.032610000
      300.000000000          1.836730000         6.594550000
      300.000000000          2.040820000         7.158170000
      300.000000000          2.244900000         7.723110000
      300.000000000          2.448980000         8.289050000
      300.000000000          2.653060000         8.855670000
      300.000000000          2.857140000         9.422640000
      300.000000000          3.061220000         9.989710000
      300.000000000          3.265310000        10.556600000
      300.000000000          3.469390000        11.123100000
      300.000000000          3.673470000        11.689100000
      300.000000000          3.877550000        12.254300000
      300.000000000          4.081630000        12.818600000
      300.000000000          4.285710000        13.382100000
      300.000000000          4.489800000        13.944500000
      300.000000000          4.693880000        14.506000000
      300.000000000          4.897960000        15.066400000
      300.000000000          5.102040000        15.625700000
      300.000000000          5.306120000        16.184100000
      300.000000000          5.510200000        16.741400000
      300.000000000          5.714290000        17.297700000
      300.000000000          5.918370000        17.853100000
      300.000000000          6.122450000        18.407500000
      300.000000000          6.326530000        18.960900000
      300.000000000          6.530610000        19.513400000
      300.000000000          6.734690000        20.064800000
      300.000000000          6.938780000        20.615300000
      300.000000000          7.142860000        21.164700000
      300.000000000          7.346940000        21.713000000
      300.000000000          7.551020000        22.260100000
      300.000000000          7.755100000        22.806000000
      300.000000000          7.959180000        23.350600000
      300.000000000          8.163270000        23.893900000
      300.000000000          8.367350000        24.436000000
      300.000000000          8.571430000        24.976800000
      300.000000000          8.775510000        25.516500000
      300.000000000          8.979590000        26.055400000
      300.000000000          9.183670000        26.593600000
      300.000000000          9.387760000        27.131800000
      300.000000000          9.591840000        27.670400000
      300.000000000          9.795920000        28.210400000
      300.000000000         10.000000000        28.752700000
  
      400.000000000          0.000000000         1.608440000
      400.000000000          0.204082000         2.154800000
      400.000000000          0.408163000         2.702510000
      400.000000000          0.612245000         3.252080000
      400.000000000          0.816327000         3.803830000
      400.000000000          1.020410000         4.357920000
      400.000000000          1.224490000         4.914360000
      400.000000000          1.428570000         5.473050000
      400.000000000          1.632650000         6.033830000
      400.000000000          1.836730000         6.596460000
      400.000000000          2.040820000         7.160680000
      400.000000000          2.244900000         7.726180000
