#
#
# Table of the atomic volume per atom of Tantalum
# through a range of temperatures and pressures
#
# Temperature  Pressure      Volume
# (degree K)    (MBar)    (cubic Bohrs)
#
 2100.000000000    1.22449    86.8858 
 2100.000000000    1.42857    83.6024 
 2100.000000000    1.63265    80.9187 
 2100.000000000    1.83673    78.7247 
 2100.000000000    2.04082    76.9226 
 2100.000000000    2.2449    75.4268 
 2100.000000000    2.44898    74.1628 
 2100.000000000    2.65306    73.0666 
 2100.000000000    2.85714    72.0842 
 2100.000000000    3.06122    71.171 
 2100.000000000    3.26531    70.2909 
 2100.000000000    3.46939    69.4158 
 2100.000000000    3.67347    68.525 
 2100.000000000    3.87755    67.6044 
 2100.000000000    4.08163    66.646 
 2100.000000000    4.28571    65.6474 
 2100.000000000    4.4898    64.6106 
 2100.000000000    4.69388    63.5419 
 2100.000000000    4.89796    62.4511 
 2100.000000000    5.10204    61.3507 
 2100.000000000    5.30612    60.2554 
 2100.000000000    5.5102    59.1815 
 2100.000000000    5.71429    58.1461 
 2100.000000000    5.91837    57.1664 
 2100.000000000    6.12245    56.2595 
 2100.000000000    6.32653    55.4411 
 2100.000000000    6.53061    54.7252 
 2100.000000000    6.73469    54.1238 
 2100.000000000    6.93878    53.6454 
 2100.000000000    7.14286    53.2952 
 2100.000000000    7.34694    53.0739 
 2100.000000000    7.55102    52.9772 
 2100.000000000    7.7551    52.9955 
 2100.000000000    7.95918    53.1126 
 2100.000000000    8.16327    53.3056 
 2100.000000000    8.36735    53.5439 
 2100.000000000    8.57143    53.7889 
 2100.000000000    8.77551    53.993 
 2100.000000000    8.97959    54.0993 
 2100.000000000    9.18367    54.0404 
 2100.000000000    9.38776    53.7385 
 2100.000000000    9.59184    53.1042 
 2100.000000000    9.79592    52.0361 
 2100.000000000    10    50.4199 
  
 2400.000000000    0    127.845 
 2400.000000000    0.204082    117.747 
 2400.000000000    0.408163    109.225 
 2400.000000000    0.612245    102.079 
 2400.000000000    0.816327    96.1237 
 2400.000000000    1.02041    91.1924 
 2400.000000000    1.22449    87.1322 
 2400.000000000    1.42857    83.8048 
 2400.000000000    1.63265    81.0859 
 2400.000000000    1.83673    78.8644 
 2400.000000000    2.04082    77.0417 
 2400.000000000    2.2449    75.5311 
 2400.000000000    2.44898    74.2572 
 2400.000000000    2.65306    73.1554 
 2400.000000000    2.85714    72.1708 
 2400.000000000    3.06122    71.258 
 2400.000000000    3.26531    70.3803 
 2400.000000000    3.46939    69.5089 
 2400.000000000    3.67347    68.6225 
 2400.000000000    3.87755    67.7066 
 2400.000000000    4.08163    66.7528 
 2400.000000000    4.28571    65.7579 
 2400.000000000    4.4898    64.7239 
 2400.000000000    4.69388    63.6568 
 2400.000000000    4.89796    62.5659 
 2400.000000000    5.10204    61.4638 
 2400.000000000    5.30612    60.3649 
 2400.000000000    5.5102    59.2856 
 2400.000000000    5.71429    58.2428 
 2400.000000000    5.91837    57.2541 
 2400.000000000    6.12245    56.3364 
 2400.000000000    6.32653    55.5059 
 2400.000000000    6.53061    54.7768 
 2400.000000000    6.73469    54.1613 
 2400.000000000    6.93878    53.6686 
 2400.000000000    7.14286    53.3043 
 2400.000000000    7.34694    53.0696 
 2400.000000000    7.55102    52.961 
 2400.000000000    7.7551    52.9695 
 2400.000000000    7.95918    53.0798 
 2400.000000000    8.16327    53.2699 
 2400.000000000    8.36735    53.5101 
 2400.000000000    8.57143    53.763 
 2400.000000000    8.77551    53.9821 
 2400.000000000    8.97959    54.1115 
 2400.000000000    9.18367    54.0855 
 2400.000000000    9.38776    53.8275 
