#
#
# Table of c11 elastic constant for Tantalum at
# various temperatures and pressures
#
#       Temperature           Pressure           Constant
#       (degree K)             (MBar)
#
        0.000000000          0.000000000         2.713470000
        0.000000000          0.204082000         3.646700000
        0.000000000          0.408163000         4.548930000
        0.000000000          0.612245000         5.426470000
        0.000000000          0.816327000         6.284440000
        0.000000000          1.020410000         7.126950000
        0.000000000          1.224490000         7.957290000
        0.000000000          1.428570000         8.777980000
        0.000000000          1.632650000         9.590990000
        0.000000000          1.836730000        10.397800000
        0.000000000          2.040820000        11.199400000
        0.000000000          2.244900000        11.996700000
        0.000000000          2.448980000        12.790200000
        0.000000000          2.653060000        13.580200000
        0.000000000          2.857140000        14.367000000
        0.000000000          3.061220000        15.150800000
        0.000000000          3.265310000        15.931700000
        0.000000000          3.469390000        16.710000000
        0.000000000          3.673470000        17.485700000
        0.000000000          3.877550000        18.258900000
        0.000000000          4.081630000        19.030000000
        0.000000000          4.285710000        19.799200000
        0.000000000          4.489800000        20.566700000
        0.000000000          4.693880000        21.332900000
        0.000000000          4.897960000        22.098100000
        0.000000000          5.102040000        22.862600000
        0.000000000          5.306120000        23.626800000
        0.000000000          5.510200000        24.390900000
        0.000000000          5.714290000        25.155400000
        0.000000000          5.918370000        25.920500000
        0.000000000          6.122450000        26.686400000
        0.000000000          6.326530000        27.453300000
        0.000000000          6.530610000        28.221300000
        0.000000000          6.734690000        28.990400000
        0.000000000          6.938780000        29.760600000
        0.000000000          7.142860000        30.531800000
        0.000000000          7.346940000        31.303900000
        0.000000000          7.551020000        32.076700000
        0.000000000          7.755100000        32.850000000
        0.000000000          7.959180000        33.623800000
        0.000000000          8.163270000        34.397900000
        0.000000000          8.367350000        35.172400000
        0.000000000          8.571430000        35.947400000
        0.000000000          8.775510000        36.723500000
        0.000000000          8.979590000        37.501400000
        0.000000000          9.183670000        38.282200000
        0.000000000          9.387760000        39.067700000
        0.000000000          9.591840000        39.860200000
        0.000000000          9.795920000        40.662800000
        0.000000000         10.000000000        41.479400000
  
      100.000000000          0.000000000         2.646210000
      100.000000000          0.204082000         3.548670000
      100.000000000          0.408163000         4.433740000
      100.000000000          0.612245000         5.304320000
      100.000000000          0.816327000         6.162730000
      100.000000000          1.020410000         7.010820000
      100.000000000          1.224490000         7.850050000
      100.000000000          1.428570000         8.681530000
      100.000000000          1.632650000         9.506110000
      100.000000000          1.836730000        10.324400000
      100.000000000          2.040820000        11.136900000
      100.000000000          2.244900000        11.944000000
      100.000000000          2.448980000        12.745900000
      100.000000000          2.653060000        13.542900000
      100.000000000          2.857140000        14.335000000
      100.000000000          3.061220000        15.122600000
      100.000000000          3.265310000        15.905700000
      100.000000000          3.469390000        16.684600000
      100.000000000          3.673470000        17.459500000
      100.000000000          3.877550000        18.230700000
      100.000000000          4.081630000        18.998400000
      100.000000000          4.285710000        19.762900000
      100.000000000          4.489800000        20.524700000
      100.000000000          4.693880000        21.284100000
      100.000000000          4.897960000        22.041400000
      100.000000000          5.102040000        22.797100000
      100.000000000          5.306120000        23.551500000
      100.000000000          5.510200000        24.305100000
      100.000000000          5.714290000        25.058300000
      100.000000000          5.918370000        25.811300000
      100.000000000          6.122450000        26.564500000
      100.000000000          6.326530000        27.318200000
      100.000000000          6.530610000        28.072600000
      100.000000000          6.734690000        28.827900000
      100.000000000          6.938780000        29.584300000
      100.000000000          7.142860000        30.342000000
      100.000000000          7.346940000        31.100900000
      100.000000000          7.551020000        31.861200000
      100.000000000          7.755100000        32.622900000
      100.000000000          7.959180000        33.386100000
      100.000000000          8.163270000        34.150900000
      100.000000000          8.367350000        34.917600000
      100.000000000          8.571430000        35.686300000
      100.000000000          8.775510000        36.457500000
      100.000000000          8.979590000        37.231700000
      100.000000000          9.183670000        38.009900000
      100.000000000          9.387760000        38.793200000
      100.000000000          9.591840000        39.583000000
      100.000000000          9.795920000        40.381400000
      100.000000000         10.000000000        41.190800000
  
      200.000000000          0.000000000         2.587890000
      200.000000000          0.204082000         3.464710000
      200.000000000          0.408163000         4.334960000
      200.000000000          0.612245000         5.198900000
      200.000000000          0.816327000         6.056680000
      200.000000000          1.020410000         6.908350000
      200.000000000          1.224490000         7.753940000
      200.000000000          1.428570000         8.593440000
      200.000000000          1.632650000         9.426810000
      200.000000000          1.836730000        10.254000000
      200.000000000          2.040820000        11.075100000
      200.000000000          2.244900000        11.890000000
      200.000000000          2.448980000        12.698700000
      200.000000000          2.653060000        13.501400000
      200.000000000          2.857140000        14.298200000
      200.000000000          3.061220000        15.089200000
      200.000000000          3.265310000        15.874500000
      200.000000000          3.469390000        16.654500000
      200.000000000          3.673470000        17.429400000
      200.000000000          3.877550000        18.199500000
      200.000000000          4.081630000        18.965200000
      200.000000000          4.285710000        19.726900000
      200.000000000          4.489800000        20.484800000
      200.000000000          4.693880000        21.239500000
      200.000000000          4.897960000        21.991400000
      200.000000000          5.102040000        22.740900000
      200.000000000          5.306120000        23.488400000
      200.000000000          5.510200000        24.234400000
      200.000000000          5.714290000        24.979300000
      200.000000000          5.918370000        25.723400000
      200.000000000          6.122450000        26.467300000
      200.000000000          6.326530000        27.211200000
      200.000000000          6.530610000        27.955400000
      200.000000000          6.734690000        28.700400000
      200.000000000          6.938780000        29.446300000
      200.000000000          7.142860000        30.193500000
      200.000000000          7.346940000        30.942100000
      200.000000000          7.551020000        31.692600000
      200.000000000          7.755100000        32.445000000
      200.000000000          7.959180000        33.199600000
      200.000000000          8.163270000        33.956600000
      200.000000000          8.367350000        34.716500000
      200.000000000          8.571430000        35.479400000
      200.000000000          8.775510000        36.245800000
      200.000000000          8.979590000        37.016200000
      200.000000000          9.183670000        37.791200000
      200.000000000          9.387760000        38.571500000
      200.000000000          9.591840000        39.358100000
      200.000000000          9.795920000        40.152000000
      200.000000000         10.000000000        40.954800000
  
      300.000000000          0.000000000         2.542710000
      300.000000000          0.204082000         3.403920000
      300.000000000          0.408163000         4.264370000
      300.000000000          0.612245000         5.122930000
      300.000000000          0.816327000         5.978620000
      300.000000000          1.020410000         6.830560000
      300.000000000          1.224490000         7.678040000
      300.000000000          1.428570000         8.520460000
      300.000000000          1.632650000         9.357320000
      300.000000000          1.836730000        10.188300000
      300.000000000          2.040820000        11.013000000
      300.000000000          2.244900000        11.831300000
      300.000000000          2.448980000        12.643200000
      300.000000000          2.653060000        13.448600000
      300.000000000          2.857140000        14.247500000
      300.000000000          3.061220000        15.040200000
      300.000000000          3.265310000        15.826800000
      300.000000000          3.469390000        16.607500000
      300.000000000          3.673470000        17.382700000
      300.000000000          3.877550000        18.152600000
      300.000000000          4.081630000        18.917700000
      300.000000000          4.285710000        19.678300000
      300.000000000          4.489800000        20.434900000
      300.000000000          4.693880000        21.187800000
      300.000000000          4.897960000        21.937500000
      300.000000000          5.102040000        22.684400000
      300.000000000          5.306120000        23.429100000
      300.000000000          5.510200000        24.171800000
      300.000000000          5.714290000        24.913100000
      300.000000000          5.918370000        25.653400000
      300.000000000          6.122450000        26.393000000
      300.000000000          6.326530000        27.132400000
