#
#
# Table of c44 elastic constant for Tantalum at
# various temperatures and pressures
#
#       Temperature           Pressure           Constant
#       (degree K)             (MBar)
#
        0.000000000          0.000000000         0.888672000
        0.000000000          0.204082000         1.027100000
        0.000000000          0.408163000         1.166520000
        0.000000000          0.612245000         1.309010000
        0.000000000          0.816327000         1.456160000
        0.000000000          1.020410000         1.609120000
        0.000000000          1.224490000         1.768680000
        0.000000000          1.428570000         1.935330000
        0.000000000          1.632650000         2.109320000
        0.000000000          1.836730000         2.290670000
        0.000000000          2.040820000         2.479300000
        0.000000000          2.244900000         2.674970000
        0.000000000          2.448980000         2.877360000
        0.000000000          2.653060000         3.086130000
        0.000000000          2.857140000         3.300860000
        0.000000000          3.061220000         3.521140000
        0.000000000          3.265310000         3.746570000
        0.000000000          3.469390000         3.976750000
        0.000000000          3.673470000         4.211310000
        0.000000000          3.877550000         4.449900000
        0.000000000          4.081630000         4.692210000
        0.000000000          4.285710000         4.937950000
        0.000000000          4.489800000         5.186880000
        0.000000000          4.693880000         5.438790000
        0.000000000          4.897960000         5.693470000
        0.000000000          5.102040000         5.950750000
        0.000000000          5.306120000         6.210480000
        0.000000000          5.510200000         6.472500000
        0.000000000          5.714290000         6.736660000
        0.000000000          5.918370000         7.002810000
        0.000000000          6.122450000         7.270800000
        0.000000000          6.326530000         7.540440000
        0.000000000          6.530610000         7.811550000
        0.000000000          6.734690000         8.083910000
        0.000000000          6.938780000         8.357310000
        0.000000000          7.142860000         8.631490000
        0.000000000          7.346940000         8.906200000
        0.000000000          7.551020000         9.181180000
        0.000000000          7.755100000         9.456180000
        0.000000000          7.959180000         9.730960000
        0.000000000          8.163270000        10.005300000
        0.000000000          8.367350000        10.279100000
        0.000000000          8.571430000        10.552300000
        0.000000000          8.775510000        10.825000000
        0.000000000          8.979590000        11.097200000
        0.000000000          9.183670000        11.369600000
        0.000000000          9.387760000        11.642600000
        0.000000000          9.591840000        11.917200000
        0.000000000          9.795920000        12.194700000
        0.000000000         10.000000000        12.476800000
  
      100.000000000          0.000000000         0.856837000
      100.000000000          0.204082000         0.979249000
      100.000000000          0.408163000         1.109900000
      100.000000000          0.612245000         1.249200000
      100.000000000          0.816327000         1.397360000
      100.000000000          1.020410000         1.554370000
      100.000000000          1.224490000         1.720070000
      100.000000000          1.428570000         1.894220000
      100.000000000          1.632650000         2.076430000
      100.000000000          1.836730000         2.266300000
      100.000000000          2.040820000         2.463330000
      100.000000000          2.244900000         2.667040000
      100.000000000          2.448980000         2.876930000
      100.000000000          2.653060000         3.092480000
      100.000000000          2.857140000         3.313210000
      100.000000000          3.061220000         3.538660000
      100.000000000          3.265310000         3.768380000
      100.000000000          3.469390000         4.001990000
      100.000000000          3.673470000         4.239120000
      100.000000000          3.877550000         4.479430000
      100.000000000          4.081630000         4.722640000
      100.000000000          4.285710000         4.968510000
      100.000000000          4.489800000         5.216800000
      100.000000000          4.693880000         5.467330000
      100.000000000          4.897960000         5.719940000
      100.000000000          5.102040000         5.974480000
      100.000000000          5.306120000         6.230830000
      100.000000000          5.510200000         6.488880000
      100.000000000          5.714290000         6.748520000
      100.000000000          5.918370000         7.009640000
      100.000000000          6.122450000         7.272150000
      100.000000000          6.326530000         7.535930000
      100.000000000          6.530610000         7.800870000
      100.000000000          6.734690000         8.066840000
      100.000000000          6.938780000         8.333710000
      100.000000000          7.142860000         8.601330000
      100.000000000          7.346940000         8.869560000
      100.000000000          7.551020000         9.138260000
      100.000000000          7.755100000         9.407270000
      100.000000000          7.959180000         9.676470000
      100.000000000          8.163270000         9.945760000
      100.000000000          8.367350000        10.215100000
      100.000000000          8.571430000        10.484400000
      100.000000000          8.775510000        10.753800000
      100.000000000          8.979590000        11.023400000
      100.000000000          9.183670000        11.293600000
      100.000000000          9.387760000        11.564700000
      100.000000000          9.591840000        11.837400000
      100.000000000          9.795920000        12.112400000
      100.000000000         10.000000000        12.390900000
  
      200.000000000          0.000000000         0.831144000
      200.000000000          0.204082000         0.942098000
      200.000000000          0.408163000         1.066750000
      200.000000000          0.612245000         1.204260000
      200.000000000          0.816327000         1.353750000
      200.000000000          1.020410000         1.514350000
      200.000000000          1.224490000         1.685200000
      200.000000000          1.428570000         1.865450000
      200.000000000          1.632650000         2.054270000
      200.000000000          1.836730000         2.250880000
      200.000000000          2.040820000         2.454530000
      200.000000000          2.244900000         2.664520000
      200.000000000          2.448980000         2.880190000
      200.000000000          2.653060000         3.100940000
      200.000000000          2.857140000         3.326220000
      200.000000000          3.061220000         3.555520000
      200.000000000          3.265310000         3.788390000
      200.000000000          3.469390000         4.024450000
      200.000000000          3.673470000         4.263320000
      200.000000000          3.877550000         4.504720000
      200.000000000          4.081630000         4.748360000
      200.000000000          4.285710000         4.994040000
      200.000000000          4.489800000         5.241550000
      200.000000000          4.693880000         5.490730000
      200.000000000          4.897960000         5.741460000
      200.000000000          5.102040000         5.993620000
      200.000000000          5.306120000         6.247110000
      200.000000000          5.510200000         6.501860000
      200.000000000          5.714290000         6.757790000
      200.000000000          5.918370000         7.014850000
      200.000000000          6.122450000         7.272970000
      200.000000000          6.326530000         7.532100000
      200.000000000          6.530610000         7.792170000
      200.000000000          6.734690000         8.053130000
      200.000000000          6.938780000         8.314910000
      200.000000000          7.142860000         8.577450000
      200.000000000          7.346940000         8.840680000
      200.000000000          7.551020000         9.104540000
      200.000000000          7.755100000         9.368970000
      200.000000000          7.959180000         9.633930000
      200.000000000          8.163270000         9.899390000
      200.000000000          8.367350000        10.165300000
      200.000000000          8.571430000        10.431800000
      200.000000000          8.775510000        10.698900000
      200.000000000          8.979590000        10.966700000
      200.000000000          9.183670000        11.235400000
      200.000000000          9.387760000        11.505400000
      200.000000000          9.591840000        11.777100000
      200.000000000          9.795920000        12.050800000
      200.000000000         10.000000000        12.327500000
  
      300.000000000          0.000000000         0.814525000
      300.000000000          0.204082000         0.922422000
      300.000000000          0.408163000         1.046270000
      300.000000000          0.612245000         1.184660000
      300.000000000          0.816327000         1.336230000
      300.000000000          1.020410000         1.499740000
      300.000000000          1.224490000         1.673990000
      300.000000000          1.428570000         1.857900000
      300.000000000          1.632650000         2.050430000
      300.000000000          1.836730000         2.250650000
      300.000000000          2.040820000         2.457700000
      300.000000000          2.244900000         2.670790000
      300.000000000          2.448980000         2.889220000
      300.000000000          2.653060000         3.112340000
      300.000000000          2.857140000         3.339590000
      300.000000000          3.061220000         3.570460000
      300.000000000          3.265310000         3.804490000
      300.000000000          3.469390000         4.041310000
      300.000000000          3.673470000         4.280580000
      300.000000000          3.877550000         4.522010000
      300.000000000          4.081630000         4.765350000
      300.000000000          4.285710000         5.010400000
      300.000000000          4.489800000         5.256990000
      300.000000000          4.693880000         5.504970000
      300.000000000          4.897960000         5.754240000
      300.000000000          5.102040000         6.004700000
      300.000000000          5.306120000         6.256280000
      300.000000000          5.510200000         6.508920000
      300.000000000          5.714290000         6.762570000
